VistaOrder,SourceFile,Date,CustomerID,Status,ImportedAt
791758,791758.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791780,791780.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791763,791763.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791764,791764.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791781,791781.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791784,791784.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791786,791786.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791787,791787.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791788,791788.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791789,791789.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791791,791791.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791792,791792.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791793,791793.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791795,791795.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791797,791797.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791798,791798.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791799,791799.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791800,791800.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791801,791801.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791802,791802.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791804,791804.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791803,791803.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791806,791806.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.587Z
791805,791805.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791808,791808.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791809,791809.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791813,791813.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791812,791812.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791815,791815.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791814,791814.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791816,791816.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791818,791818.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791819,791819.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791821,791821.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791820,791820.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791822,791822.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791824,791824.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791823,791823.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791825,791825.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791827,791827.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791826,791826.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791828,791828.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791830,791830.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791831,791831.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791832,791832.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791834,791834.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791836,791836.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791833,791833.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791838,791838.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791835,791835.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791841,791841.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791837,791837.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791848,791848.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791842,791842.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791857,791857.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791855,791855.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791864,791864.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791878,791878.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791880,791880.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791888,791888.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791865,791865.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791886,791886.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791879,791879.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791890,791890.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791891,791891.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791900,791900.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791907,791907.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791893,791893.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791898,791898.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791910,791910.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791909,791909.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791912,791912.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791916,791916.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791925,791925.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791922,791922.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791928,791928.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791926,791926.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791921,791921.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791929,791929.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791930,791930.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791934,791934.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791937,791937.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791931,791931.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791933,791933.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791938,791938.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791935,791935.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791936,791936.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.588Z
791943,791943.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791939,791939.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791941,791941.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791944,791944.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791945,791945.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791946,791946.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791948,791948.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791947,791947.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791949,791949.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791950,791950.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791951,791951.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791952,791952.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791956,791956.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
